dispatch_time,num_orders_in_batch,num_available_couriers,supply_demand_ratio,num_proposed_assignments,num_accepted_assignments,num_rejections,assignment_rate,acceptance_rate,total_cost_of_cycle,avg_cost_per_assignment,agreement_rate_with_actual,cost_function,mode,strategy_key,num_units,num_bundles,avg_bundle_size,micro_batch_sec,optimizer_status,num_deferred_in,num_deferred_out,num_deferred_carry,decision_ms,optimizer_ms
1665977114,658,802,1.2188449848024316,650,562,88,0.8541033434650456,0.8646153846153846,2015622.2477191503,3586.5164550162817,0.012455516014234875,distance_to_pickup,BATCH,hungarian,658,0,0,0,ok,0,96,96,283.81558298133314,80.61995799653232
1665977234,720,320,0.4444444444444444,320,290,30,0.4027777777777778,0.90625,1669598.3886503547,5757.235822932257,0.027586206896551724,distance_to_pickup,BATCH,hungarian,720,0,0,0,ok,0,430,430,130.56962500559166,34.08004203811288
1665977414,1064,81,0.07612781954887218,81,65,16,0.06109022556390977,0.8024691358024691,220509.35682594564,3392.4516434760867,0.06153846153846154,distance_to_pickup,BATCH,hungarian,1064,0,0,0,ok,0,999,999,44.70824997406453,9.763832960743457
1666063506,1709,3132,1.8326506729081333,1709,1491,218,0.8724400234055003,0.8724400234055003,2543165.6218155255,1705.6778147656107,0.008718980549966466,distance_to_pickup,BATCH,hungarian,1709,0,0,0,ok,0,218,218,2102.424208947923,493.8421249971725
1666063626,863,1664,1.9281575898030128,814,703,111,0.8146002317497103,0.8636363636363636,1596758.85564677,2271.3497235373684,0.012802275960170697,distance_to_pickup,BATCH,hungarian,863,0,0,0,ok,0,160,160,605.3687920211814,153.05208298377693
1666063806,775,989,1.2761290322580645,682,606,76,0.7819354838709678,0.8885630498533724,4954525.70763551,8175.784996098201,0.01155115511551155,distance_to_pickup,BATCH,hungarian,775,0,0,0,ok,0,169,169,399.63520801393315,117.44891700800508
1666149913,884,3420,3.8687782805429864,884,771,113,0.8721719457013575,0.8721719457013575,1279059.2011773088,1658.961350424525,0.010376134889753566,distance_to_pickup,BATCH,hungarian,884,0,0,0,ok,0,113,113,1100.391416985076,239.3337079556659
1666150033,834,2665,3.195443645083933,820,712,108,0.8537170263788969,0.8682926829268293,921021.7241667002,1293.5698373127811,0.009831460674157303,distance_to_pickup,BATCH,hungarian,834,0,0,0,ok,0,122,122,874.8973749461584,198.55283299693838
1666150213,760,1972,2.594736842105263,688,592,96,0.7789473684210526,0.8604651162790697,817751.4560630991,1381.3369190255053,0.02195945945945946,distance_to_pickup,BATCH,hungarian,760,0,0,0,ok,0,168,168,603.7563750287518,139.47812496917322
1666236312,811,3609,4.450061652281135,811,688,123,0.8483353884093712,0.8483353884093712,885378.4906871798,1286.8873411150869,0.005813953488372093,distance_to_pickup,BATCH,hungarian,811,0,0,0,ok,0,123,123,1066.4465840090998,230.177833000198
1666236432,810,2940,3.6296296296296298,810,716,94,0.8839506172839506,0.8839506172839506,731740.0447997352,1021.9833027929262,0.00558659217877095,distance_to_pickup,BATCH,hungarian,810,0,0,0,ok,0,94,94,970.6877089920454,212.37466699676588
1666236612,785,2229,2.8394904458598726,746,638,108,0.8127388535031848,0.8552278820375335,1241905.8094340963,1946.5608298340069,0.0109717868338558,distance_to_pickup,BATCH,hungarian,785,0,0,0,ok,0,147,147,753.2316250144504,164.27341697271913
1666322707,880,3753,4.264772727272727,880,756,124,0.8590909090909091,0.8590909090909091,885591.9271802306,1171.4178930955431,0.007936507936507936,distance_to_pickup,BATCH,hungarian,880,0,0,0,ok,0,124,124,1266.323707997799,261.0151249682531
1666322827,808,3003,3.7165841584158414,808,701,107,0.8675742574257426,0.8675742574257426,675148.142330575,963.1214583888375,0.012838801711840228,distance_to_pickup,BATCH,hungarian,808,0,0,0,ok,0,107,107,938.1936659920029,200.43216698104516
1666323007,770,2308,2.9974025974025973,770,682,88,0.8857142857142857,0.8857142857142857,1483996.6700276819,2175.9481965215277,0.020527859237536656,distance_to_pickup,BATCH,hungarian,770,0,0,0,ok,0,88,88,740.054499998223,175.39166699862108
1666409110,788,3891,4.937817258883249,788,697,91,0.8845177664974619,0.8845177664974619,689534.445827469,989.2890184038292,0.01291248206599713,distance_to_pickup,BATCH,hungarian,788,0,0,0,ok,0,91,91,1176.725749974139,242.02687497017905
1666409230,763,3199,4.192660550458716,763,665,98,0.8715596330275229,0.8715596330275229,510643.67860569275,767.8852309860041,0.009022556390977444,distance_to_pickup,BATCH,hungarian,763,0,0,0,ok,0,98,98,950.6328330026008,214.30937497643754
1666409410,732,2543,3.4740437158469946,732,634,98,0.8661202185792349,0.8661202185792349,1054501.4627630007,1663.251518553629,0.022082018927444796,distance_to_pickup,BATCH,hungarian,732,0,0,0,ok,0,98,98,734.8096249625087,167.8967080079019
1666495519,732,3996,5.459016393442623,732,636,96,0.8688524590163934,0.8688524590163934,557717.3002865548,876.9139941612498,0.0031446540880503146,distance_to_pickup,BATCH,hungarian,732,0,0,0,ok,0,96,96,1131.0657909489237,226.88991599716246
1666495639,687,3369,4.903930131004367,687,589,98,0.8573508005822417,0.8573508005822417,463719.12058303633,787.2990162700107,0.01697792869269949,distance_to_pickup,BATCH,hungarian,687,0,0,0,ok,0,98,98,923.9408330176957,193.92574997618794
1666495819,767,2784,3.6297262059973923,767,670,97,0.8735332464146024,0.8735332464146024,994236.0116650871,1483.9343457687867,0.014925373134328358,distance_to_pickup,BATCH,hungarian,767,0,0,0,ok,0,97,97,847.932624979876,186.46462500328198
1666581917,747,4074,5.453815261044177,747,638,109,0.8540829986613119,0.8540829986613119,584052.3709966724,915.4425877690791,0.007836990595611285,distance_to_pickup,BATCH,hungarian,747,0,0,0,ok,0,109,109,1286.975709022954,261.51191600365564
1666582037,811,3442,4.244143033292231,811,701,110,0.8643649815043156,0.8643649815043156,588110.9712112277,838.9600159931922,0.009985734664764621,distance_to_pickup,BATCH,hungarian,811,0,0,0,ok,0,110,110,1083.9249159907922,238.41504199663177
1666582217,718,2746,3.8245125348189415,718,628,90,0.8746518105849582,0.8746518105849582,1053548.504773505,1677.6250076011227,0.009554140127388535,distance_to_pickup,BATCH,hungarian,718,0,0,0,ok,0,90,90,784.9731250316836,176.87691596802324
