dispatch_time,num_orders_in_batch,num_available_couriers,supply_demand_ratio,num_assignments_made,assignment_rate,total_cost_of_cycle,avg_cost_per_assignment,agreement_rate_with_actual
1665977114,658,802,1.2188449848024316,658,1.0,4991755.032454114,7586.253848714459,0.0182370820668693
1665977234,624,192,0.3076923076923077,192,0.3076923076923077,1282970.8931806234,6682.140068649081,0.00641025641025641
1665977414,634,47,0.07413249211356467,47,0.07413249211356467,167317.18545065707,3559.940115971427,0.006309148264984227
1666063506,710,750,1.056338028169014,710,1.0,4988073.1773426365,7025.455179355826,0.008450704225352112
1666063626,645,120,0.18604651162790697,120,0.18604651162790697,974441.3655364821,8120.344712804017,0.004651162790697674
1666063806,615,104,0.16910569105691056,104,0.16910569105691056,490582.80897374527,4717.14239397832,0.004878048780487805
1666149913,715,759,1.0615384615384615,715,1.0,4027943.0258078687,5633.486749381635,0.011188811188811189
1666150033,721,135,0.18723994452149792,135,0.18723994452149792,665189.288012828,4927.328059354281,0.013869625520110958
1666150213,638,109,0.17084639498432602,109,0.17084639498432602,581755.5059819081,5337.206476898239,0.003134796238244514
1666236312,643,802,1.2472783825816485,643,1.0,2023702.1906039508,3147.281789430717,0.02021772939346812
1666236432,687,264,0.38427947598253276,264,0.38427947598253276,1684681.1917603305,6381.368150607313,0.00727802037845706
1666236612,691,95,0.13748191027496381,95,0.13748191027496381,330904.29345492634,3483.2030889992247,0.002894356005788712
1666322707,733,807,1.1009549795361528,733,1.0,5787114.881993917,7895.108979527854,0.010914051841746248
1666322827,684,163,0.23830409356725146,163,0.23830409356725146,1030042.5561474996,6319.279485567482,0.007309941520467836
1666323007,663,94,0.14177978883861236,94,0.14177978883861236,498044.44688856316,5298.345179665565,0.004524886877828055
1666409110,700,757,1.0814285714285714,700,1.0,4245209.33054168,6064.584757916685,0.012857142857142857
1666409230,672,147,0.21875,147,0.21875,1099469.0835182795,7479.381520532514,0.002976190476190476
1666409410,634,115,0.18138801261829654,115,0.18138801261829654,585749.4979776256,5093.473895457614,0.00473186119873817
1666495519,634,757,1.1940063091482649,634,1.0,2699278.2394209937,4257.53665523816,0.017350157728706624
1666495639,591,203,0.34348561759729274,203,0.34348561759729274,1299268.0754492504,6400.335347040643,0.01692047377326565
1666495819,669,96,0.14349775784753363,96,0.14349775784753363,511057.958636527,5323.520402463823,0.004484304932735426
1666581917,650,767,1.18,650,1.0,2640601.0390570424,4062.4631370108345,0.013846153846153847
1666582037,702,206,0.2934472934472934,206,0.2934472934472934,1281594.900470543,6221.334468303607,0.007122507122507123
1666582217,608,96,0.15789473684210525,96,0.15789473684210525,482160.52179928136,5022.505435409181,0.009868421052631578
