dispatch_time,num_orders_in_batch,num_available_couriers,supply_demand_ratio,num_proposed_assignments,num_accepted_assignments,num_rejections,assignment_rate,acceptance_rate,total_cost_of_cycle,avg_cost_per_assignment,agreement_rate_with_actual,cost_function,mode,strategy_key,num_units,num_bundles,avg_bundle_size,micro_batch_sec,optimizer_status,num_deferred_in,num_deferred_out,num_deferred_carry
1665977114,658,802,1.2188449848024316,658,568,90,0.8632218844984803,0.8632218844984803,4591898.034184256,8084.327524972281,0.007042253521126761,distance_to_pickup,BATCH,greedy,658,0,0,0,ok,0,90,90
1665977234,714,314,0.43977591036414565,314,285,29,0.39915966386554624,0.9076433121019108,11804280.9977509,41418.52981666983,0.0,distance_to_pickup,BATCH,greedy,714,0,0,0,ok,0,429,429
1665977414,1063,80,0.07525870178739416,80,65,15,0.06114769520225776,0.8125,2013339.913014866,30974.460200228707,0.015384615384615385,distance_to_pickup,BATCH,greedy,1063,0,0,0,ok,0,998,998
1666063506,1708,3132,1.8337236533957846,1708,1490,218,0.8723653395784543,0.8723653395784543,2254185.6180315088,1512.8762537124219,0.008053691275167786,distance_to_pickup,BATCH,greedy,1708,0,0,0,ok,0,218,218
1666063626,863,1665,1.929316338354577,863,750,113,0.8690614136732329,0.8690614136732329,6550003.737718448,8733.33831695793,0.008,distance_to_pickup,BATCH,greedy,863,0,0,0,ok,0,113,113
1666063806,728,943,1.2953296703296704,728,643,85,0.8832417582417582,0.8832417582417582,19878942.094374068,30915.928607113638,0.015552099533437015,distance_to_pickup,BATCH,greedy,728,0,0,0,ok,0,85,85
1666149913,800,3420,4.275,800,696,104,0.87,0.87,991074.9643500533,1423.9582821121455,0.004310344827586207,distance_to_pickup,BATCH,greedy,800,0,0,0,ok,0,104,104
1666150033,825,2740,3.3212121212121213,825,716,109,0.8678787878787879,0.8678787878787879,614088.2942252463,857.6652153983887,0.018156424581005588,distance_to_pickup,BATCH,greedy,825,0,0,0,ok,0,109,109
1666150213,747,2043,2.7349397590361444,747,641,106,0.85809906291834,0.85809906291834,1116526.0822986546,1741.8503624003972,0.0124804992199688,distance_to_pickup,BATCH,greedy,747,0,0,0,ok,0,106,106
1666236312,749,3609,4.818424566088117,749,638,111,0.8518024032042724,0.8518024032042724,579473.7158719038,908.2660123384072,0.004702194357366771,distance_to_pickup,BATCH,greedy,749,0,0,0,ok,0,111,111
1666236432,798,2990,3.7468671679197993,798,705,93,0.8834586466165414,0.8834586466165414,563006.9197705425,798.5913755610533,0.011347517730496455,distance_to_pickup,BATCH,greedy,798,0,0,0,ok,0,93,93
1666236612,784,2290,2.920918367346939,784,672,112,0.8571428571428571,0.8571428571428571,1301760.1422089816,1937.1430687633654,0.01636904761904762,distance_to_pickup,BATCH,greedy,784,0,0,0,ok,0,112,112
1666322707,845,3753,4.441420118343196,845,723,122,0.855621301775148,0.855621301775148,800285.8239433232,1106.8960220516228,0.013831258644536652,distance_to_pickup,BATCH,greedy,845,0,0,0,ok,0,122,122
1666322827,806,3036,3.7667493796526053,806,701,105,0.869727047146402,0.869727047146402,739492.6944726246,1054.9111190764972,0.017118402282453638,distance_to_pickup,BATCH,greedy,806,0,0,0,ok,0,105,105
1666323007,768,2341,3.0481770833333335,768,680,88,0.8854166666666666,0.8854166666666666,1518253.717502215,2232.726055150316,0.010294117647058823,distance_to_pickup,BATCH,greedy,768,0,0,0,ok,0,88,88
1666409110,788,3891,4.937817258883249,788,697,91,0.8845177664974619,0.8845177664974619,796330.8514092647,1142.5119819358174,0.011477761836441894,distance_to_pickup,BATCH,greedy,788,0,0,0,ok,0,91,91
1666409230,763,3199,4.192660550458716,763,665,98,0.8715596330275229,0.8715596330275229,547134.2158755183,822.7582193616817,0.013533834586466165,distance_to_pickup,BATCH,greedy,763,0,0,0,ok,0,98,98
1666409410,732,2543,3.4740437158469946,732,634,98,0.8661202185792349,0.8661202185792349,1172226.602191055,1848.9378583455125,0.022082018927444796,distance_to_pickup,BATCH,greedy,732,0,0,0,ok,0,98,98
1666495519,732,3996,5.459016393442623,732,636,96,0.8688524590163934,0.8688524590163934,599927.352889927,943.2820013992563,0.007861635220125786,distance_to_pickup,BATCH,greedy,732,0,0,0,ok,0,96,96
1666495639,687,3369,4.903930131004367,687,589,98,0.8573508005822417,0.8573508005822417,470388.33628754667,798.6219631367516,0.008488964346349746,distance_to_pickup,BATCH,greedy,687,0,0,0,ok,0,98,98
1666495819,767,2784,3.6297262059973923,767,670,97,0.8735332464146024,0.8735332464146024,1072550.7569173956,1600.8220252498443,0.019402985074626865,distance_to_pickup,BATCH,greedy,767,0,0,0,ok,0,97,97
1666581917,747,4074,5.453815261044177,747,638,109,0.8540829986613119,0.8540829986613119,640094.624521082,1003.2831105346113,0.006269592476489028,distance_to_pickup,BATCH,greedy,747,0,0,0,ok,0,109,109
1666582037,811,3442,4.244143033292231,811,701,110,0.8643649815043156,0.8643649815043156,670143.9043862176,955.9827452014516,0.009985734664764621,distance_to_pickup,BATCH,greedy,811,0,0,0,ok,0,110,110
1666582217,718,2746,3.8245125348189415,718,628,90,0.8746518105849582,0.8746518105849582,1205272.4056698948,1919.2235759074758,0.011146496815286623,distance_to_pickup,BATCH,greedy,718,0,0,0,ok,0,90,90
