dispatch_time,num_orders_in_batch,num_available_couriers,supply_demand_ratio,num_proposed_assignments,num_accepted_assignments,num_rejections,assignment_rate,acceptance_rate,total_cost_of_cycle,avg_cost_per_assignment,agreement_rate_with_actual,cost_function
1665977114,658,802,1.2188449848024316,658,568,90,0.8632218844984803,0.8632218844984803,1763.8939877441614,3.105447161521411,0.004559270516717325,distance_to_pickup
1665977234,624,801,1.2836538461538463,624,545,79,0.8733974358974359,0.8733974358974359,7272.5305774537655,13.34409280266746,0.0016025641025641025,distance_to_pickup
1665977414,634,800,1.2618296529968454,634,562,72,0.886435331230284,0.886435331230284,286.50479926172267,0.5097950164799335,0.0,distance_to_pickup
1666063506,710,2500,3.5211267605633805,710,620,90,0.8732394366197183,0.8732394366197183,1001.1038907126473,1.6146836946978183,0.0,distance_to_pickup
1666063626,645,2499,3.874418604651163,645,559,86,0.8666666666666667,0.8666666666666667,931.584671406738,1.6665199846274383,0.0,distance_to_pickup
1666063806,615,2498,4.061788617886179,615,537,78,0.8731707317073171,0.8731707317073171,429494.2960203313,799.8031583246393,0.0,distance_to_pickup
1666149913,715,2497,3.4923076923076923,715,627,88,0.8769230769230769,0.8769230769230769,390.6929740857903,0.6231147912054071,0.0,distance_to_pickup
1666150033,721,2496,3.4618585298196947,721,631,90,0.8751733703190014,0.8751733703190014,11586.228463136742,18.361693285478196,0.0,distance_to_pickup
1666150213,638,2495,3.9106583072100314,638,551,87,0.8636363636363636,0.8636363636363636,1027.9323907728563,1.8655760268109913,0.001567398119122257,distance_to_pickup
1666236312,643,2494,3.878693623639191,643,554,89,0.8615863141524106,0.8615863141524106,19530.71675592066,35.25400136447773,0.0,distance_to_pickup
1666236432,687,2493,3.62882096069869,687,587,100,0.8544395924308588,0.8544395924308588,156.1793840428371,0.26606368661471397,0.0,distance_to_pickup
1666236612,691,2492,3.606367583212735,691,601,90,0.869753979739508,0.869753979739508,815.8045108970654,1.357411831775483,0.0,distance_to_pickup
1666322707,733,2491,3.398362892223738,733,638,95,0.8703956343792633,0.8703956343792633,432.78632141046234,0.6783484661605993,0.0,distance_to_pickup
1666322827,684,2490,3.6403508771929824,684,586,98,0.8567251461988304,0.8567251461988304,1864.737246906384,3.1821454725364915,0.0,distance_to_pickup
1666323007,663,2489,3.7541478129713424,663,562,101,0.8476621417797888,0.8476621417797888,111.07204868912791,0.1976370973116155,0.0,distance_to_pickup
1666409110,700,2488,3.5542857142857143,700,616,84,0.88,0.88,1822.4469813961666,2.958517826941829,0.0,distance_to_pickup
1666409230,672,2487,3.700892857142857,672,592,80,0.8809523809523809,0.8809523809523809,258.75084540924695,0.43707913075886307,0.0,distance_to_pickup
1666409410,634,2486,3.921135646687697,634,561,73,0.8848580441640379,0.8848580441640379,1255.009960119839,2.2370944030656665,0.0,distance_to_pickup
1666495519,634,2485,3.919558359621451,634,564,70,0.889589905362776,0.889589905362776,1011.3599754785632,1.7931914458839773,0.0,distance_to_pickup
1666495639,591,2484,4.2030456852791875,591,500,91,0.8460236886632826,0.8460236886632826,41.23105625617661,0.08246211251235322,0.0,distance_to_pickup
1666495819,669,2483,3.711509715994021,669,581,88,0.8684603886397608,0.8684603886397608,985.7920673245449,1.6967161227616951,0.0,distance_to_pickup
1666581917,650,2482,3.8184615384615386,650,563,87,0.8661538461538462,0.8661538461538462,296.5821977125397,0.5267889835036229,0.0,distance_to_pickup
1666582037,702,2481,3.534188034188034,702,611,91,0.8703703703703703,0.8703703703703703,114.03946685248927,0.18664397193533433,0.0,distance_to_pickup
1666582217,608,2480,4.078947368421052,608,531,77,0.8733552631578947,0.8733552631578947,111.4136436887332,0.2098185380202132,0.0,distance_to_pickup
