dispatch_time,num_orders_in_batch,num_available_couriers,supply_demand_ratio,num_proposed_assignments,num_accepted_assignments,num_rejections,assignment_rate,acceptance_rate,total_cost_of_cycle,avg_cost_per_assignment,agreement_rate_with_actual,cost_function
1665977114,658,802,1.2188449848024316,658,658,0,1.0,1.0,42657995.74532999,64829.78076797871,0.004559270516717325,distance_to_pickup
1665977234,624,801,1.2836538461538463,624,0,624,0.0,0.0,0,0,0.0,distance_to_pickup
1665977414,634,801,1.2634069400630914,634,634,0,1.0,1.0,52668939.68528249,83074.03735848973,0.0,distance_to_pickup
1666063506,710,2501,3.5225352112676056,710,710,0,1.0,1.0,282207750.9982076,397475.70563127834,0.0,distance_to_pickup
1666063626,645,2500,3.875968992248062,645,645,0,1.0,1.0,247385545.09794044,383543.4807720007,0.0,distance_to_pickup
1666063806,615,2499,4.0634146341463415,615,615,0,1.0,1.0,47313643.52351559,76932.75369677332,0.0,distance_to_pickup
1666149913,715,2498,3.4937062937062935,715,715,0,1.0,1.0,40705238.991611816,56930.40418407247,0.0,distance_to_pickup
1666150033,721,2497,3.4632454923717058,721,0,721,0.0,0.0,0,0,0.0,distance_to_pickup
1666150213,638,2497,3.913793103448276,638,638,0,1.0,1.0,64121655.32756738,100504.16195543477,0.001567398119122257,distance_to_pickup
1666236312,643,2496,3.8818040435458787,643,0,643,0.0,0.0,0,0,0.0,distance_to_pickup
1666236432,687,2496,3.6331877729257642,687,687,0,1.0,1.0,47221658.56028666,68736.03866126153,0.0,distance_to_pickup
1666236612,691,2495,3.6107091172214183,691,691,0,1.0,1.0,57778641.744076304,83615.97936914081,0.0,distance_to_pickup
1666322707,733,2494,3.402455661664393,733,0,733,0.0,0.0,0,0,0.0,distance_to_pickup
1666322827,684,2494,3.646198830409357,684,684,0,1.0,1.0,99489725.53498483,145452.81510962694,0.0,distance_to_pickup
1666323007,663,2493,3.760180995475113,663,663,0,1.0,1.0,257524516.7607316,388423.1022032151,0.0,distance_to_pickup
1666409110,700,2492,3.56,700,700,0,1.0,1.0,35661340.50280129,50944.77214685899,0.0,distance_to_pickup
1666409230,672,2491,3.706845238095238,672,672,0,1.0,1.0,54468393.51659319,81054.15701873986,0.0,distance_to_pickup
1666409410,634,2490,3.9274447949526814,634,634,0,1.0,1.0,41361482.73114199,65238.931752589895,0.0,distance_to_pickup
1666495519,634,2489,3.9258675078864353,634,634,0,1.0,1.0,35043033.829123296,55272.9240206992,0.0,distance_to_pickup
1666495639,591,2488,4.209813874788494,591,0,591,0.0,0.0,0,0,0.0,distance_to_pickup
1666495819,669,2488,3.71898355754858,669,669,0,1.0,1.0,46437217.53251267,69412.8812145182,0.0014947683109118087,distance_to_pickup
1666581917,650,2487,3.8261538461538462,650,650,0,1.0,1.0,37511260.993136354,57709.632297132855,0.0,distance_to_pickup
1666582037,702,2486,3.5413105413105415,702,702,0,1.0,1.0,69731044.69479862,99331.97249971313,0.0,distance_to_pickup
1666582217,608,2485,4.087171052631579,608,608,0,1.0,1.0,41376144.21503611,68052.86877473044,0.0,distance_to_pickup
