dispatch_time,num_orders_in_batch,num_available_couriers,supply_demand_ratio,num_proposed_assignments,num_accepted_assignments,num_rejections,assignment_rate,acceptance_rate,total_cost_of_cycle,avg_cost_per_assignment,agreement_rate_with_actual,cost_function,mode,strategy_key,num_units,num_bundles,avg_bundle_size,micro_batch_sec,optimizer_status,num_deferred_in,num_deferred_out,num_deferred_carry
1665977114,658,802,1.2188449848024316,619,536,83,0.8145896656534954,0.8659127625201939,1536959.4137745344,2867.4615928629373,0.014925373134328358,distance_to_pickup,BATCH,hungarian,658,0,0,0,ok,0,122,122
1665977234,746,346,0.46380697050938335,335,303,32,0.4061662198391421,0.9044776119402985,1757090.1845455102,5798.977506750859,0.026402640264026403,distance_to_pickup,BATCH,hungarian,746,0,0,0,ok,0,443,443
1665977414,1077,94,0.0872794800371402,94,76,18,0.07056638811513463,0.8085106382978723,407624.4792501417,5363.479990133444,0.06578947368421052,distance_to_pickup,BATCH,hungarian,1077,0,0,0,ok,0,1001,1001
1666063506,1711,3132,1.8305084745762712,1533,1341,192,0.7837521917007598,0.8747553816046967,1538311.950545657,1147.1379198699904,0.008948545861297539,distance_to_pickup,BATCH,hungarian,1711,0,0,0,ok,0,370,370
1666063626,1015,1814,1.787192118226601,840,727,113,0.716256157635468,0.8654761904761905,1182845.034913562,1627.0220562772517,0.0041265474552957355,distance_to_pickup,BATCH,hungarian,1015,0,0,0,ok,0,288,288
1666063806,903,1115,1.2347729789590254,628,551,77,0.6101882613510521,0.8773885350318471,2822559.0118517284,5122.611636754498,0.016333938294010888,distance_to_pickup,BATCH,hungarian,903,0,0,0,ok,0,352,352
1666149913,1067,3420,3.205248359887535,860,750,110,0.7029053420805998,0.872093023255814,994738.6033827877,1326.3181378437168,0.008,distance_to_pickup,BATCH,hungarian,1067,0,0,0,ok,0,317,317
1666150033,1038,2686,2.58766859344894,845,734,111,0.7071290944123314,0.8686390532544379,644566.3631729982,878.1558081375997,0.01634877384196185,distance_to_pickup,BATCH,hungarian,1038,0,0,0,ok,0,304,304
1666150213,942,1971,2.0923566878980893,710,612,98,0.6496815286624203,0.8619718309859155,1040379.5629209516,1699.9666060799864,0.014705882352941176,distance_to_pickup,BATCH,hungarian,942,0,0,0,ok,0,330,330
1666236312,973,3609,3.7091469681397737,777,668,109,0.6865364850976362,0.8597168597168597,614641.8008330697,920.1224563369307,0.010479041916167664,distance_to_pickup,BATCH,hungarian,973,0,0,0,ok,0,305,305
1666236432,992,2960,2.9838709677419355,828,720,108,0.7258064516129032,0.8695652173913043,633950.7291507742,880.4871238205197,0.006944444444444444,distance_to_pickup,BATCH,hungarian,992,0,0,0,ok,0,272,272
1666236612,963,2245,2.331256490134995,747,645,102,0.6697819314641744,0.8634538152610441,1227709.9283951544,1903.4262455738829,0.017054263565891473,distance_to_pickup,BATCH,hungarian,963,0,0,0,ok,0,318,318
1666322707,1051,3753,3.570884871550904,852,731,121,0.6955280685061845,0.857981220657277,735475.8916587821,1006.1229708054475,0.006839945280437756,distance_to_pickup,BATCH,hungarian,1051,0,0,0,ok,0,320,320
1666322827,1004,3028,3.0159362549800797,796,685,111,0.6822709163346613,0.8605527638190955,674797.5020884512,985.1058424648922,0.017518248175182483,distance_to_pickup,BATCH,hungarian,1004,0,0,0,ok,0,319,319
1666323007,982,2349,2.3920570264765786,737,648,89,0.659877800407332,0.8792401628222524,1172440.0854240244,1809.3211194815192,0.016975308641975308,distance_to_pickup,BATCH,hungarian,982,0,0,0,ok,0,334,334
1666409110,1034,3891,3.763056092843327,785,696,89,0.6731141199226306,0.8866242038216561,584310.3313599166,839.5263381607997,0.010057471264367816,distance_to_pickup,BATCH,hungarian,1034,0,0,0,ok,0,338,338
1666409230,1010,3200,3.1683168316831685,778,688,90,0.6811881188118812,0.884318766066838,558351.539124872,811.5574696582441,0.01308139534883721,distance_to_pickup,BATCH,hungarian,1010,0,0,0,ok,0,322,322
1666409410,956,2521,2.6370292887029287,720,618,102,0.6464435146443515,0.8583333333333333,1059450.5717261727,1714.3213134727714,0.01779935275080906,distance_to_pickup,BATCH,hungarian,956,0,0,0,ok,0,338,338
1666495519,972,3996,4.111111111111111,731,634,97,0.6522633744855967,0.8673050615595075,560765.8644329072,884.4887451623142,0.006309148264984227,distance_to_pickup,BATCH,hungarian,972,0,0,0,ok,0,338,338
1666495639,929,3371,3.628632938643703,696,599,97,0.6447793326157158,0.860632183908046,456726.1473684421,762.4810473596696,0.015025041736227046,distance_to_pickup,BATCH,hungarian,929,0,0,0,ok,0,330,330
1666495819,999,2776,2.7787787787787788,742,659,83,0.6596596596596597,0.8881401617250674,882021.8881073713,1338.4247163996529,0.015174506828528073,distance_to_pickup,BATCH,hungarian,999,0,0,0,ok,0,340,340
1666581917,990,4074,4.115151515151515,709,600,109,0.6060606060606061,0.846262341325811,516960.0180829939,861.6000301383232,0.008333333333333333,distance_to_pickup,BATCH,hungarian,990,0,0,0,ok,0,390,390
1666582037,1092,3480,3.1868131868131866,811,694,117,0.6355311355311355,0.8557336621454994,587470.4770421338,846.4992464584061,0.01440922190201729,distance_to_pickup,BATCH,hungarian,1092,0,0,0,ok,0,398,398
1666582217,1006,2791,2.774353876739563,709,621,88,0.617296222664016,0.8758815232722144,905684.140678894,1458.4285679209243,0.00966183574879227,distance_to_pickup,BATCH,hungarian,1006,0,0,0,ok,0,385,385
