dispatch_time,num_orders_in_batch,num_available_couriers,supply_demand_ratio,num_proposed_assignments,num_accepted_assignments,num_rejections,assignment_rate,acceptance_rate,total_cost_of_cycle,avg_cost_per_assignment,agreement_rate_with_actual,cost_function
1665977114,658,802,1.2188449848024316,658,568,90,0.8632218844984803,0.8632218844984803,235266.81323204527,414.2021359719107,0.010638297872340425,distance_to_pickup
1665977234,624,689,1.1041666666666667,624,545,79,0.8733974358974359,0.8733974358974359,299055.1844881361,548.7251091525433,0.008012820512820512,distance_to_pickup
1665977414,634,573,0.9037854889589906,634,562,72,0.886435331230284,0.886435331230284,343440.13869086676,611.1034496278768,0.006309148264984227,distance_to_pickup
1666063506,710,2503,3.5253521126760563,710,620,90,0.8732394366197183,0.8732394366197183,204868.77056652497,330.4335009137499,0.0028169014084507044,distance_to_pickup
1666063626,645,2370,3.6744186046511627,645,559,86,0.8666666666666667,0.8666666666666667,181315.91961951597,324.3576379597781,0.0031007751937984496,distance_to_pickup
1666063806,615,2254,3.665040650406504,615,537,78,0.8731707317073171,0.8731707317073171,186891.6697513353,348.0291801700844,0.011382113821138212,distance_to_pickup
1666149913,715,2503,3.5006993006993006,715,627,88,0.8769230769230769,0.8769230769230769,229078.54487403602,365.35653089957896,0.0013986013986013986,distance_to_pickup
1666150033,721,2369,3.2857142857142856,721,631,90,0.8751733703190014,0.8751733703190014,205978.54235361904,326.43192132110784,0.0027739251040221915,distance_to_pickup
1666150213,638,2237,3.506269592476489,638,551,87,0.8636363636363636,0.8636363636363636,247084.5376691696,448.42928796582504,0.003134796238244514,distance_to_pickup
1666236312,643,2503,3.8926905132192844,643,554,89,0.8615863141524106,0.8615863141524106,204986.66036293053,370.01202231575905,0.0,distance_to_pickup
1666236432,687,2392,3.481804949053857,687,587,100,0.8544395924308588,0.8544395924308588,227390.4987724639,387.37734032787716,0.0,distance_to_pickup
1666236612,691,2263,3.2749638205499276,691,601,90,0.869753979739508,0.869753979739508,250428.57744087873,416.6864849265869,0.004341534008683068,distance_to_pickup
1666322707,733,2503,3.4147339699863575,733,638,95,0.8703956343792633,0.8703956343792633,230970.58534371623,362.0228610403076,0.002728512960436562,distance_to_pickup
1666322827,684,2375,3.4722222222222223,684,586,98,0.8567251461988304,0.8567251461988304,281113.54050132533,479.71593942205686,0.0029239766081871343,distance_to_pickup
1666323007,663,2247,3.3891402714932126,663,562,101,0.8476621417797888,0.8476621417797888,287451.89634360286,511.48024260427553,0.004524886877828055,distance_to_pickup
1666409110,700,2503,3.5757142857142856,700,616,84,0.88,0.88,295424.7178430069,479.5855809139722,0.002857142857142857,distance_to_pickup
1666409230,672,2372,3.5297619047619047,672,592,80,0.8809523809523809,0.8809523809523809,306352.6675096755,517.487614036614,0.002976190476190476,distance_to_pickup
1666409410,634,2246,3.5425867507886437,634,561,73,0.8848580441640379,0.8848580441640379,294190.8752081873,524.4044121358063,0.0015772870662460567,distance_to_pickup
1666495519,634,2503,3.94794952681388,634,564,70,0.889589905362776,0.889589905362776,245907.72819328928,436.0066102717895,0.0015772870662460567,distance_to_pickup
1666495639,591,2385,4.035532994923858,591,500,91,0.8460236886632826,0.8460236886632826,291472.8898885614,582.9457797771228,0.001692047377326565,distance_to_pickup
1666495819,669,2272,3.396113602391629,669,581,88,0.8684603886397608,0.8684603886397608,361192.36715998733,621.6736095696856,0.0029895366218236174,distance_to_pickup
1666581917,650,2503,3.850769230769231,650,563,87,0.8661538461538462,0.8661538461538462,338516.7387611036,601.2730706236298,0.003076923076923077,distance_to_pickup
1666582037,702,2389,3.403133903133903,702,611,91,0.8703703703703703,0.8703703703703703,349299.81154831505,571.6854526159002,0.0014245014245014246,distance_to_pickup
1666582217,608,2261,3.71875,608,531,77,0.8733552631578947,0.8733552631578947,402515.08208577073,758.0321696530522,0.0,distance_to_pickup
