dispatch_time,num_orders_in_batch,num_available_couriers,supply_demand_ratio,num_proposed_assignments,num_accepted_assignments,num_rejections,assignment_rate,acceptance_rate,total_cost_of_cycle,avg_cost_per_assignment,agreement_rate_with_actual,cost_function,mode,strategy_key,num_units,num_bundles,avg_bundle_size,micro_batch_sec,optimizer_status,num_deferred_in,num_deferred_out,num_deferred_carry,decision_ms,optimizer_ms
1665977114,658,802,1.2188449848024316,150,127,23,0.19300911854103345,0.8466666666666667,100000.0,787.4015748031496,0.023622047244094488,distance_to_pickup,BATCH,milp_vrp,658,0,0,0,ok,0,531,531,480.44908401789144,274.36258300440386
1665977234,1155,788,0.6822510822510822,150,131,19,0.11341991341991342,0.8733333333333333,71000.0,541.9847328244275,0.0,distance_to_pickup,BATCH,milp_vrp,1155,0,0,0,ok,0,1024,1024,628.7570840213448,258.7856249883771
1665977414,1658,741,0.4469240048250905,150,133,17,0.08021712907117008,0.8866666666666667,108000.0,812.0300751879699,0.045112781954887216,distance_to_pickup,BATCH,milp_vrp,1658,0,0,0,ok,0,1525,1525,801.6076249768957,280.6222079670988
1666063506,2235,3132,1.4013422818791947,150,128,22,0.05727069351230425,0.8533333333333334,10000.0,78.125,0.0078125,distance_to_pickup,BATCH,milp_vrp,2235,0,0,0,ok,0,2107,2107,2657.523250032682,535.0214590434916
1666063626,2752,3052,1.1090116279069768,150,130,20,0.047238372093023256,0.8666666666666667,17000.0,130.76923076923077,0.015384615384615385,distance_to_pickup,BATCH,milp_vrp,2752,0,0,0,ok,0,2622,2622,3216.1602079868317,563.8237910461612
1666063806,3237,2970,0.917516218721038,150,139,11,0.04294099474822367,0.9266666666666666,21000.0,151.0791366906475,0.0,distance_to_pickup,BATCH,milp_vrp,3237,0,0,0,ok,0,3098,3098,3573.3151249587536,562.236167024821
1666149913,3813,3420,0.8969315499606609,150,128,22,0.033569367951744034,0.8533333333333334,7000.0,54.6875,0.0078125,distance_to_pickup,BATCH,milp_vrp,3813,0,0,0,ok,0,3685,3685,4668.483207991812,622.5864579901099
1666150033,4406,3321,0.753744893327281,150,124,26,0.02814344076259646,0.8266666666666667,14000.0,112.90322580645162,0.008064516129032258,distance_to_pickup,BATCH,milp_vrp,4406,0,0,0,ok,0,4282,4282,5239.2388340085745,655.4115830222145
1666150213,4920,3230,0.6565040650406504,150,137,13,0.027845528455284554,0.9133333333333333,30000.0,218.97810218978103,0.014598540145985401,distance_to_pickup,BATCH,milp_vrp,4920,0,0,0,ok,0,4783,4783,5695.112832996529,617.4115830217488
1666236312,5426,3609,0.6651308514559529,150,128,22,0.02359012163656469,0.8533333333333334,12000.0,93.75,0.0,distance_to_pickup,BATCH,milp_vrp,5426,0,0,0,ok,0,5298,5298,7002.962666039821,699.2648330051452
