time,type,description,details
992,ORDER_DELIVERED,Order 0 delivered by courier 3,"{""order_id"": 0, ""courier_id"": 3, ""click_to_door"": 923.9228973357237, ""ready_to_door"": 743.9228973357237}"
992,COURIER_IDLE,Courier 3 is now idle,"{""courier_id"": 3}"
1063,ORDER_PLACED,Order 10 placed,"{""order_id"": 10, ""restaurant_id"": 4}"
1070,PICKUP_SERVICE_START,Courier 4 starting pickup service (90s),"{""courier_id"": 4, ""service_time"": 90}"
1077,ORDER_PLACED,Order 11 placed,"{""order_id"": 11, ""restaurant_id"": 2}"
1087,ORDER_PLACED,Order 12 placed,"{""order_id"": 12, ""restaurant_id"": 3}"
1148,ORDER_READY,Order 9 is ready for pickup,"{""order_id"": 9}"
1160,ORDER_PICKED_UP,Order 4 picked up by courier 4,"{""order_id"": 4, ""courier_id"": 4}"
1160,COURIER_DELIVERING,Courier 4 heading to first dropoff (optimized),"{""courier_id"": 4, ""order_ids"": []}"
1200,ASSIGNMENT_MADE,Courier 3 assigned orders [9],"{""courier_id"": 3, ""order_ids"": [9], ""bundle_size"": 1, ""has_relay"": false}"
1243,ORDER_READY,Order 10 is ready for pickup,"{""order_id"": 10}"
1257,ORDER_READY,Order 11 is ready for pickup,"{""order_id"": 11}"
1267,ORDER_READY,Order 12 is ready for pickup,"{""order_id"": 12}"
1317,ORDER_PLACED,Order 13 placed,"{""order_id"": 13, ""restaurant_id"": 2}"
1352,ORDER_DELIVERED,Order 1 delivered by courier 0,"{""order_id"": 1, ""courier_id"": 0, ""click_to_door"": 1273.6351496736454, ""ready_to_door"": 1093.6351496736452}"
1352,COURIER_IDLE,Courier 0 is now idle,"{""courier_id"": 0}"
1361,ORDER_DELIVERED,Order 4 delivered by courier 4,"{""order_id"": 4, ""courier_id"": 4, ""click_to_door"": 931.2364426500246, ""ready_to_door"": 751.2364426500246}"
1361,COURIER_IDLE,Courier 4 is now idle,"{""courier_id"": 4}"
1401,ORDER_PLACED,Order 14 placed,"{""order_id"": 14, ""restaurant_id"": 2}"
1411,ORDER_PLACED,Order 15 placed,"{""order_id"": 15, ""restaurant_id"": 3}"
1414,ORDER_PLACED,Order 16 placed,"{""order_id"": 16, ""restaurant_id"": 1}"
1437,PICKUP_SERVICE_START,Courier 2 starting pickup service (90s),"{""courier_id"": 2, ""service_time"": 90}"
1446,ORDER_PLACED,Order 17 placed,"{""order_id"": 17, ""restaurant_id"": 1}"
1497,ORDER_READY,Order 13 is ready for pickup,"{""order_id"": 13}"
1500,ASSIGNMENT_MADE,Courier 0 assigned orders [10],"{""courier_id"": 0, ""order_ids"": [10], ""bundle_size"": 1, ""has_relay"": false}"
1500,ASSIGNMENT_MADE,Courier 4 assigned orders [12],"{""courier_id"": 4, ""order_ids"": [12], ""bundle_size"": 1, ""has_relay"": false}"
1522,ORDER_DELIVERED,Order 2 delivered by courier 1,"{""order_id"": 2, ""courier_id"": 1, ""click_to_door"": 1219.3921359728934, ""ready_to_door"": 1039.3921359728934}"
1527,ORDER_PICKED_UP,Order 5 picked up by courier 2,"{""order_id"": 5, ""courier_id"": 2}"
1527,COURIER_DELIVERING,Courier 2 heading to first dropoff (optimized),"{""courier_id"": 2, ""order_ids"": []}"
1547,ORDER_PLACED,Order 18 placed,"{""order_id"": 18, ""restaurant_id"": 3}"
1581,ORDER_READY,Order 14 is ready for pickup,"{""order_id"": 14}"
1591,ORDER_READY,Order 15 is ready for pickup,"{""order_id"": 15}"
1594,ORDER_READY,Order 16 is ready for pickup,"{""order_id"": 16}"
1626,ORDER_READY,Order 17 is ready for pickup,"{""order_id"": 17}"
1656,ORDER_EXPIRED,Order 6 expired (not matched within 900s),"{""order_id"": 6}"
1681,ORDER_EXPIRED,Order 7 expired (not matched within 900s),"{""order_id"": 7}"
1701,PICKUP_SERVICE_START,Courier 4 starting pickup service (90s),"{""courier_id"": 4, ""service_time"": 90}"
1727,ORDER_READY,Order 18 is ready for pickup,"{""order_id"": 18}"
1778,ORDER_PLACED,Order 19 placed,"{""order_id"": 19, ""restaurant_id"": 1}"
1779,PICKUP_SERVICE_START,Courier 3 starting pickup service (90s),"{""courier_id"": 3, ""service_time"": 90}"
1789,ORDER_EXPIRED,Order 8 expired (not matched within 900s),"{""order_id"": 8}"
1791,ORDER_PICKED_UP,Order 12 picked up by courier 4,"{""order_id"": 12, ""courier_id"": 4}"
1791,COURIER_DELIVERING,Courier 4 heading to first dropoff (optimized),"{""courier_id"": 4, ""order_ids"": []}"
1869,ORDER_PICKED_UP,Order 9 picked up by courier 3,"{""order_id"": 9, ""courier_id"": 3}"
1869,COURIER_DELIVERING,Courier 3 heading to first dropoff (optimized),"{""courier_id"": 3, ""order_ids"": []}"
1891,ORDER_PLACED,Order 20 placed,"{""order_id"": 20, ""restaurant_id"": 0}"
