time,type,description,details
2997,PICKUP_SERVICE_START,Courier 2 starting pickup service (90s),"{""courier_id"": 2, ""service_time"": 90}"
3050,ORDER_EXPIRED,Order 21 expired (not matched within 900s),"{""order_id"": 21}"
3055,ORDER_PLACED,Order 31 placed,"{""order_id"": 31, ""restaurant_id"": 4}"
3069,PICKUP_SERVICE_START,Courier 0 starting pickup service (90s),"{""courier_id"": 0, ""service_time"": 90}"
3076,ORDER_READY,Order 28 is ready for pickup,"{""order_id"": 28}"
3087,ORDER_PICKED_UP,Order 11 picked up by courier 2,"{""order_id"": 11, ""courier_id"": 2}"
3087,COURIER_DELIVERING,Courier 2 heading to first dropoff (optimized),"{""courier_id"": 2, ""order_ids"": []}"
3137,ORDER_PLACED,Order 32 placed,"{""order_id"": 32, ""restaurant_id"": 2}"
3152,ORDER_READY,Order 29 is ready for pickup,"{""order_id"": 29}"
3154,PICKUP_SERVICE_START,Courier 1 starting pickup service (90s),"{""courier_id"": 1, ""service_time"": 90}"
3159,ORDER_PICKED_UP,Order 19 picked up by courier 0,"{""order_id"": 19, ""courier_id"": 0}"
3159,COURIER_DELIVERING,Courier 0 heading to first dropoff (optimized),"{""courier_id"": 0, ""order_ids"": [19]}"
3162,ORDER_READY,Order 30 is ready for pickup,"{""order_id"": 30}"
3235,ORDER_READY,Order 31 is ready for pickup,"{""order_id"": 31}"
3244,ORDER_PICKED_UP,Order 14 picked up by courier 1,"{""order_id"": 14, ""courier_id"": 1}"
3244,COURIER_DELIVERING,Courier 1 heading to first dropoff (optimized),"{""courier_id"": 1, ""order_ids"": []}"
3317,ORDER_READY,Order 32 is ready for pickup,"{""order_id"": 32}"
3390,ORDER_DELIVERED,Order 11 delivered by courier 2,"{""order_id"": 11, ""courier_id"": 2, ""click_to_door"": 2313.452724730948, ""ready_to_door"": 2133.452724730948}"
3390,COURIER_IDLE,Courier 2 is now idle,"{""courier_id"": 2}"
3461,PICKUP_SERVICE_START,Courier 4 starting pickup service (90s),"{""courier_id"": 4, ""service_time"": 90}"
3519,ORDER_EXPIRED,Order 22 expired (not matched within 900s),"{""order_id"": 22}"
3551,ORDER_PICKED_UP,Order 20 picked up by courier 4,"{""order_id"": 20, ""courier_id"": 4}"
3551,COURIER_DELIVERING,Courier 4 heading to first dropoff (optimized),"{""courier_id"": 4, ""order_ids"": [20]}"
3574,ORDER_DELIVERED,Order 14 delivered by courier 1,"{""order_id"": 14, ""courier_id"": 1, ""click_to_door"": 2173.622702779057, ""ready_to_door"": 1993.622702779057}"
3574,COURIER_IDLE,Courier 1 is now idle,"{""courier_id"": 1}"
3582,ORDER_EXPIRED,Order 23 expired (not matched within 900s),"{""order_id"": 23}"
3587,ORDER_EXPIRED,Order 24 expired (not matched within 900s),"{""order_id"": 24}"
3600,ASSIGNMENT_MADE,Courier 2 assigned orders [25],"{""courier_id"": 2, ""order_ids"": [25], ""bundle_size"": 1, ""has_relay"": false}"
3600,ASSIGNMENT_MADE,Courier 1 assigned orders [26],"{""courier_id"": 1, ""order_ids"": [26], ""bundle_size"": 1, ""has_relay"": false}"
3600,SIMULATION_END,Simulation completed,"{""final_metrics"": {""orders_delivered"": 11, ""orders_in_transit"": 5, ""orders_unassigned"": 6, ""orders_out_of_scope"": 0, ""total_delivery_time"": 17350.53861679811, ""total_ready_to_door_time"": 15370.538616798114, ""total_distance_traveled"": 46.83992591309604, ""total_courier_idle_time"": 1637.0, ""bundles_created"": 16, ""total_bundle_size"": 16, ""unserved_orders"": 22, ""relay_handoffs"": 0, ""relay_orders"": 0, ""relay_distance_saved"": 0.0, ""orders_expired"": 11, ""fulfillment_rate_pct"": 33.33333333333333, ""avg_click_to_door_time"": 1577.3216924361916, ""p90_click_to_door_time"": 2173.622702779057, ""avg_ready_to_door_time"": 1397.3216924361923, ""avg_delivery_time"": 1577.3216924361916, ""avg_ready_to_door_time_sec"": 1397.3216924361923, ""avg_pickup_wait_time"": 947.9580560725555, ""courier_utilization_pct"": 90.90555555555555, ""courier_utilization"": 90.90555555555555, ""total_distance_traveled_km"": 46.83992591309604, ""avg_orders_per_courier_hour"": 2.2, ""system_throughput_orders_per_hour"": 11.0, ""avg_bundle_size"": 1.0}}"
